frequency_1, gain_1,frequency_2, gain_2,frequency_3, gain_3,frequency_4, gain_4,frequency_5, gain_5,frequency_6, gain_6,frequency_7, gain_7,frequency_8, gain_8,frequency_9, gain_9,frequency_10, gain_10,frequency_11, gain_11,frequency_12, gain_12,frequency_13, gain_13,frequency_14, gain_14,frequency_15, gain_15,frequency_16, gain_16,frequency_17, gain_17,frequency_18, gain_18,frequency_19, gain_19,frequency_20, gain_20
100000,1.574397009,100000,-11.44211307,100000,-5.213992306,100000,0.019234177,100000,-5.356480285,100000,-3.048779784,100000,-1.699231917,100000,3.654776796,100000,8.504945953,100000,4.54524399,100000000,-7.494581926,100000,-1.013087246,100000,-0.906600272,100000,0.479873215,100000,-0.88202259,100000,5.406717424,100000,3.51772726,100000,2.036364548,100000,5.431946316,100000,8.030892112
2202002,-6.888121013,2202002,-6.409552344,2202002,-6.954523689,2202002,-6.92623311,2202002,-6.632468546,2202002,-6.751104763,2202002,-6.701856166,2202002,-6.407239984,2202002,-6.149595024,2202002,-7.02869897,102002002,-7.737471475,2202002,-7.186482466,2202002,-6.772189349,2202002,-6.22543085,2202002,-6.276499491,2202002,-6.031899034,2202002,-6.331629396,2202002,-6.049455869,2202002,-6.118878156,2202002,-6.254871311
4304004,-7.129735084,4304004,-6.779265971,4304004,-6.753973526,4304004,-6.940164626,4304004,-6.629750717,4304004,-6.706038768,4304004,-6.62817507,4304004,-6.47116233,4304004,-6.552465519,4304004,-7.305069994,104004004,-8.130761934,4304004,-7.076546251,4304004,-6.831628561,4304004,-6.434267224,4304004,-6.570069181,4304004,-6.608332415,4304004,-6.7008882,4304004,-6.413315009,4304004,-6.635938068,4304004,-6.671889848
6406006,-7.190151099,6406006,-6.340458647,6406006,-6.95189715,6406006,-6.811962245,6406006,-6.772393843,6406006,-6.937931297,6406006,-6.768489984,6406006,-6.743611175,6406006,-6.50313915,6406006,-7.333038262,106006006,-8.126478927,6406006,-6.945357225,6406006,-7.140886327,6406006,-6.140865115,6406006,-6.551224069,6406006,-6.604983021,6406006,-6.527730923,6406006,-6.42373894,6406006,-6.40150427,6406006,-6.327454513
8508008,-6.907359247,8508008,-6.661989001,8508008,-7.043536473,8508008,-7.171300053,8508008,-7.148223123,8508008,-7.021505343,8508008,-6.58599719,8508008,-6.687473624,8508008,-6.652185457,8508008,-7.278687732,108008008,-8.364971307,8508008,-7.157749513,8508008,-6.78432476,8508008,-6.350258782,8508008,-6.700809506,8508008,-6.366837807,8508008,-6.519018709,8508008,-6.485875293,8508008,-6.412465828,8508008,-6.530909795
10610010,-7.56003036,10610010,-7.092000845,10610010,-7.471941135,10610010,-7.190903854,10610010,-7.189874354,10610010,-7.158699977,10610010,-7.183975984,10610010,-6.961134922,10610010,-6.903108347,10610010,-7.691921179,110010010,-8.348220715,10610010,-7.455765522,10610010,-7.379004287,10610010,-7.099239548,10610010,-6.804290909,10610010,-7.015509412,10610010,-7.0524228,10610010,-6.756812322,10610010,-7.079551294,10610010,-6.869473272
12712012,-7.818718374,12712012,-7.086701755,12712012,-7.470560699,12712012,-7.365394603,12712012,-7.118997062,12712012,-7.210968211,12712012,-7.355172627,12712012,-6.944364108,12712012,-6.891514611,12712012,-7.721966443,112012012,-8.447797754,12712012,-7.535491219,12712012,-7.667693301,12712012,-6.874718836,12712012,-6.923266301,12712012,-6.957872569,12712012,-6.864637335,12712012,-6.875441954,12712012,-6.891480604,12712012,-6.97462819
14814014,-7.720548415,14814014,-6.969153907,14814014,-7.242985528,14814014,-7.491126181,14814014,-7.236896036,14814014,-7.175947998,14814014,-7.224823244,14814014,-7.047782445,14814014,-7.114911214,14814014,-7.695001985,114014014,-8.59988135,14814014,-7.580243213,14814014,-7.482126948,14814014,-7.146631095,14814014,-6.922401123,14814014,-6.849866733,14814014,-7.093745745,14814014,-7.026966104,14814014,-6.787977053,14814014,-6.743082959
16916016,-7.71299458,16916016,-7.119394911,16916016,-7.582443036,16916016,-7.404062474,16916016,-7.183164132,16916016,-7.380336024,16916016,-7.115500844,16916016,-7.200914087,16916016,-7.166487206,16916016,-7.750678913,116016016,-8.823650775,16916016,-7.619575438,16916016,-7.504738669,16916016,-6.739018059,16916016,-6.965092223,16916016,-7.07637343,16916016,-7.040220465,16916016,-7.043098715,16916016,-7.040067124,16916016,-6.945134774
19018018,-7.754546287,19018018,-7.087473974,19018018,-7.306965778,19018018,-7.455121855,19018018,-7.42299984,19018018,-7.112105519,19018018,-7.267614684,19018018,-7.158655052,19018018,-7.072849537,19018018,-7.728940433,118018018,-9.177539342,19018018,-7.492592117,19018018,-7.542629281,19018018,-6.777267359,19018018,-7.146923488,19018018,-7.068056669,19018018,-6.765833194,19018018,-6.946346428,19018018,-6.964279609,19018018,-7.053825545
21120020,-7.483998874,21120020,-7.147036765,21120020,-7.345172746,21120020,-7.427794727,21120020,-7.041497002,21120020,-7.245294783,21120020,-7.257467979,21120020,-6.933027172,21120020,-7.080786139,21120020,-7.677954947,120020020,-8.970798589,21120020,-7.74162244,21120020,-7.764795412,21120020,-6.996685798,21120020,-6.88115037,21120020,-6.981104666,21120020,-6.896311464,21120020,-7.065310938,21120020,-6.834184616,21120020,-7.035963839
